Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876231242&partnerID=40&md5=621b2cd1757ccc77341281f8a2f2ecaf",,2-s2.0-84876231242
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937849144&partnerID=40&md5=6441b2a288c5fdded2adbcc8b21e092c",,2-s2.0-84937849144
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043317328&partnerID=40&md5=3e5a5c2b862c8979ffea845bb707b3c3",,2-s2.0-85043317328
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960980241&partnerID=40&md5=18aaa500235b11fb99e953f8b227f46d",,2-s2.0-84960980241
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898956512&partnerID=40&md5=dfbefdd1802d61da676977c9ddce4729",,2-s2.0-84898956512
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037086890&doi=10.1016%2fS1389-1286%2801%2900302-4&partnerID=40&md5=ba7014f6f1488b60351c5fd00b027118","Ad hoc networks; Application layer; Data link layer; Error control; Medium access control; Networking layer; Physical layer; Power aware protocols; Routing; Transport layer; Wireless sensor networks",2-s2.0-0037086890
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090176877&partnerID=40&md5=b8ecd177286b903fcb2493893027cce0",,2-s2.0-85090176877
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075670920&partnerID=40&md5=e3b48b382f1626a477d7d7343cc93f51",,2-s2.0-85075670920
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928547704&partnerID=40&md5=a48ad857cb90914792ad1b1191d7c591",,2-s2.0-84928547704
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032183752&doi=10.1109%2f49.730453&partnerID=40&md5=2c1254cbbd968a35761914bfb5e4b454","Antenna array processing; Baseband processing; Diversity; Estimation and detection; Fade mitigation; Maximalratio combining; Rayleigh fading; Smart antennas; Space block coding; Space-time coding; Transmit diversity; Wireless communications",2-s2.0-0032183752
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956877124&doi=10.1016%2fj.comnet.2010.05.010&partnerID=40&md5=14b4f3bf4d13ee412acf573a91a817de","Internet of Things; Pervasive computing; RFID systems",2-s2.0-77956877124
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13844296408&doi=10.1109%2fJSAC.2004.839380&partnerID=40&md5=d5a2b79bcc1b4b26d653647a1cc548fe","Awareness; Channel-state estimation and predictive modeling; Cognition; Competition and cooperation; Emergent behavior; Interference temperature; Machine learning; Radio-scene analysis; Rate feedback; Spectrum analysis; Spectrum holes; Spectrum management",2-s2.0-13844296408
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038589165&partnerID=40&md5=ec3f365f5260ea1af6514ae746f69e1a","Google; Information retrieval; PageRank; Search engines; World Wide Web",2-s2.0-0038589165
