Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036530772&doi=10.1109%2f4235.996017&partnerID=40&md5=76831106ec37df04361f38a96f7c2508","Constraint handling; Elitism; Genetic algorithms; Multicriterion decision making; Multiobjective optimization; Pareto-optimal solutions",2-s2.0-0036530772
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961289992&doi=10.3115%2fv1%2fd14-1162&partnerID=40&md5=53f2b22fdb7676d7ea744a3676c76cc8",,2-s2.0-84961289992
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860771820&doi=10.1089%2fcmb.2012.0021&partnerID=40&md5=c8caf6092715f29c9a1f2e6846ea3777","assembly; bacteria; de Bruijn graph; sequencing; single cell",2-s2.0-84860771820
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744565978&doi=10.1007%2fBF01001956&partnerID=40&md5=2642b300fe18e3840c1b591589a0e5d3","Artificial intelligence; automatic classification; cluster analysis; fuzzy sets; inductive reasoning; learning algorithms; measurement theory; pattern recognition; tolerance theory",2-s2.0-27744565978
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51249194645&doi=10.1007%2fBF02478259&partnerID=40&md5=edb67afceee33d22eaabbf1f8c1dca90",,2-s2.0-51249194645
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961291190&doi=10.3115%2fv1%2fd14-1179&partnerID=40&md5=c2352cbf63baff24b33f2291e0016bad",,2-s2.0-84961291190
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031118203&doi=10.1109%2f4235.585893&partnerID=40&md5=fac8c56be911367d556066800e863066","Evolutionary algorithms; Information theory; Optimization",2-s2.0-0031118203
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4043137356&doi=10.1023%2fB%3aSTCO.0000035301.49549.88&partnerID=40&md5=0955e9aa365e66039786c9cb957e0323","machine learning; regression estimation; support vector machines",2-s2.0-4043137356
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036464756&doi=10.1109%2f4235.985692&partnerID=40&md5=52e6a33450d05e58b424d1092d53e8ae","Convergence; Evolutionary computation; Optimization; Particle swarm; Stability",2-s2.0-0036464756
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031122887&doi=10.1109%2f4235.585892&partnerID=40&md5=55a90df80907d00464d7a696500d935b","Adaptive behavior; Ant colony; Emergent behavior; Traveling salesman problem",2-s2.0-0031122887
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548583274&doi=10.1007%2fs11222-007-9033-z&partnerID=40&md5=fe78e686010addf971b2be00106d3512","Graph Laplacian; Spectral clustering",2-s2.0-34548583274
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033318858&doi=10.1109%2f4235.797969&partnerID=40&md5=beb167a6fd2d1daf7c4f1c7565a77000","Clustering; Evolutionary algorithm; Knapsack problem; Multiobjective optimization; Niching; Pareto optimality",2-s2.0-0033318858
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961376850&doi=10.3115%2fv1%2fd14-1181&partnerID=40&md5=38be18f19001ceea9ee8cacdc60d2e3c",,2-s2.0-84961376850
