Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083951076&partnerID=40&md5=1512fe7d6538ffc6686cf01cba3c3460",,2-s2.0-85083951076
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016355478&doi=10.1109%2fTAC.1974.1100705&partnerID=40&md5=34ebc2a638345ec977cf906a3f3e2e75",,2-s2.0-0016355478
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002467378&doi=10.1006%2fjcph.1995.1039&partnerID=40&md5=59b478b5bfcf565aed1f12c0ac935d4e",,2-s2.0-0002467378
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249087535&doi=10.2307%2f249008&partnerID=40&md5=077d6bd1380e7553fd4c6d49f4f5bcf7","End user computing; User acceptance; User measurement",2-s2.0-55249087535
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62049084378&doi=10.1016%2fj.jbi.2008.08.010&partnerID=40&md5=ccbb909388b722ce32ff621ed319601e","Clinical research; Electronic data capture; Medical informatics; Translational research",2-s2.0-62049084378
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645712892&doi=10.1109%2fTIT.2006.871582&partnerID=40&md5=333044b482243b4fea9df6823fd98317","Adaptive sampling; Almost-spherical sections of Banach spaces; Basis Pursuit; Eigenvalues of random matrices; Gel'fand n-widths; Information-based complexity; Integrated sensing and processing; Minimum ℓ1-norm decomposition; Optimal recovery; Quotient-of-a-Subspace theorem; Sparse solution of linear equations",2-s2.0-33645712892
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542382496&doi=10.2307%2f30036540&partnerID=40&md5=0145eeee9ddb1678e81b29817475e16c","Innovation characteristics; Integrated model; Social cognitive theory; Technology acceptance model; Theory of planned behavior; Unified model",2-s2.0-1542382496
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083815650&partnerID=40&md5=4986c6d6076c0c91df84d17216b47216",,2-s2.0-85083815650
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142000477&doi=10.1023%2fA%3a1008202821328&partnerID=40&md5=1a1a1c9c38e8e1f01faddfcfab00a929","Evolution strategy; Genetic algorithm; Global optimization; Nonlinear optimization; Stochastic optimization",2-s2.0-0142000477
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083953063&partnerID=40&md5=a5b2d6b3fc9f0a6f92864467079a1280",,2-s2.0-85083953063
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083951332&partnerID=40&md5=20428820e8b09cdfb5078ea812a71f2d",,2-s2.0-85083951332
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969584486&partnerID=40&md5=bf7e146fe4da2c48a38050108068d697",,2-s2.0-84969584486
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646940952&doi=10.1016%2f0021-9991%2877%2990098-5&partnerID=40&md5=4ccebf2bd96c1c42e67f9c0049c28735",,2-s2.0-33646940952
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-31744440684&doi=10.1109%2fTIT.2005.862083&partnerID=40&md5=6dd24dc39e1ca28662cb4116f729d49b","Convex optimization; Duality in optimization; Free probability; Image reconstruction; Linear programming; Random matrices; Sparsity; Total-variation minimization; Trigonometric expansions; Uncertainty principle",2-s2.0-31744440684
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133336275&partnerID=40&md5=e5403ff81a528d681f9f25b272c2ba2f",,2-s2.0-85133336275
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46249092554&doi=10.1021%2fct700301q&partnerID=40&md5=ceb96d762300e4b5f3436c6e143731c7",,2-s2.0-46249092554
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019367877&doi=10.1016%2f0021-9991%2881%2990145-5&partnerID=40&md5=8233ceed366c24956ec15cbb5abcf451",,2-s2.0-0019367877
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44749084234&doi=10.1016%2f0021-9991%2888%2990002-2&partnerID=40&md5=f7ad80e9c3128e7291e911e3d752b5ff",,2-s2.0-44749084234
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961123152&doi=10.1186%2f1471-2105-12-323&partnerID=40&md5=2343375ff3cfbce00895f2d7fdc1679e",,2-s2.0-79961123152
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016034522&doi=10.1016%2f0045-7825%2874%2990029-2&partnerID=40&md5=748506ce3a856fcea3426d6cb8d2c4e5",,2-s2.0-0016034522
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60549111634&doi=10.1186%2f1471-2105-9-559&partnerID=40&md5=686e2b343821a617ed26a862609bcb52",,2-s2.0-60549111634
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-5044252003&doi=10.1109%2fTIT.2004.838089&partnerID=40&md5=20a8e3d6fc28a73e92c2443031dbb538","Diversity techniques; Fading channels; Outage probability; Relay channel; User cooperation; Wireless networks",2-s2.0-5044252003
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946416234&doi=10.1016%2fj.softx.2015.06.001&partnerID=40&md5=e4e2a821fe6d6e13fa698b699ded0a26","Free energy; Gpu; Molecular dynamics; Simd",2-s2.0-84946416234
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032097263&doi=10.1109%2f3477.678627&partnerID=40&md5=0e0af67761a49995bdf8f32ca2131bc2",,2-s2.0-0032097263
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4644244041&doi=10.1109%2fTAC.2004.834113&partnerID=40&md5=162d667044230c4554c4d3195e4c46ec",,2-s2.0-4644244041
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-74049108922&doi=10.1186%2f1471-2105-10-421&partnerID=40&md5=5e785d718107a160faac671f718134af",,2-s2.0-74049108922
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017018484&doi=10.1109%2fTIT.1976.1055638&partnerID=40&md5=4a4e6dfd1e64adb5ddc9faaef9179478",,2-s2.0-0017018484
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030082551&doi=10.1109%2f3477.484436&partnerID=40&md5=169996594ac8cc116c8695ce75b8a53d",,2-s2.0-0030082551
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926662675&doi=10.1109%2fTIT.1967.1053964&partnerID=40&md5=ff8a9d35349700b2d67fde2f3740f68b",,2-s2.0-84926662675
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020102027&doi=10.1109%2fTIT.1982.1056489&partnerID=40&md5=93441bcaa6dfd4d4f33cec8fad6c4487",,2-s2.0-0020102027
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646589837&doi=10.1109%2fTWC.2002.804190&partnerID=40&md5=f62895771cfae5f53e6e50808c6b5529","Data aggregation; Protocol architecture; Wireless microsensor networks",2-s2.0-33646589837
